1,('Meta-I:17163', 'Meta-I:18337', 'Meta-I:27286', 'Meta-I:36855', 'Meta-I:36885', 'Meta-I:37359', 'Meta-I:41479', 'Meta-I:51149', 'Meta-I:6501')
2,('Meta-I:17163', 'Meta-I:18337', 'Meta-I:27286', 'Meta-I:36855', 'Meta-I:36885', 'Meta-I:37359', 'Meta-I:39325', 'Meta-I:40489', 'Meta-I:41479', 'Meta-I:48530', 'Meta-I:49871', 'Meta-I:51149')
3,('Meta-I:17163', 'Meta-I:18337', 'Meta-I:27286', 'Meta-I:36855', 'Meta-I:36885', 'Meta-I:37359', 'Meta-I:39325', 'Meta-I:40489', 'Meta-I:41479', 'Meta-I:48530', 'Meta-I:49871', 'Meta-I:51967')
4,('Meta-I:22678', 'Meta-I:36855', 'Meta-I:49871', 'Meta-I:51967', 'Meta-I:6501')
5,('A', 'N')
6,('Meta-I:17163', 'Meta-I:18337', 'Meta-I:27286', 'Meta-I:36855', 'Meta-I:36885', 'Meta-I:37359', 'Meta-I:39325', 'Meta-I:40489', 'Meta-I:41479', 'Meta-I:48530', 'Meta-I:49871', 'Meta-I:51149', 'Meta-I:6501')
7,('Meta-I:22678', 'Meta-I:36855', 'Meta-I:39325', 'Meta-I:40489', 'Meta-I:48530', 'Meta-I:49871', 'Meta-I:51967')
8,('Meta-I:17163', 'Meta-I:18337', 'Meta-I:27286', 'Meta-I:36855', 'Meta-I:36885', 'Meta-I:37359', 'Meta-I:39325', 'Meta-I:40489', 'Meta-I:41479', 'Meta-I:48530', 'Meta-I:49871', 'Meta-I:51967', 'Meta-I:6501')
9,('Meta-I:17163', 'Meta-I:18337', 'Meta-I:27286', 'Meta-I:36855', 'Meta-I:36885', 'Meta-I:37359', 'Meta-I:41479', 'Meta-I:49871', 'Meta-I:51967', 'Meta-I:6501')
10,('Meta-I:17163', 'Meta-I:18337', 'Meta-I:27286', 'Meta-I:36855', 'Meta-I:36885', 'Meta-I:37359', 'Meta-I:41479', 'Meta-I:49871', 'Meta-I:51149', 'Meta-I:6501')
11,('Meta-I:17163', 'Meta-I:18337', 'Meta-I:27286', 'Meta-I:36855', 'Meta-I:36885', 'Meta-I:37359', 'Meta-I:39325', 'Meta-I:40489', 'Meta-I:41479', 'Meta-I:48530', 'Meta-I:49871', 'Meta-I:51259', 'Meta-I:51967', 'Meta-I:6501')
12,('Meta-I:17163', 'Meta-I:22678', 'Meta-I:36855', 'Meta-I:49871', 'Meta-I:51149', 'Meta-I:51967', 'Meta-I:6501')
13,('Meta-I:17163', 'Meta-I:18337', 'Meta-I:27286', 'Meta-I:36855', 'Meta-I:36885', 'Meta-I:37359', 'Meta-I:39325', 'Meta-I:40489', 'Meta-I:41479', 'Meta-I:48530', 'Meta-I:49871', 'Meta-I:51259', 'Meta-I:51967')
14,('Meta-I:17163', 'Meta-I:18337', 'Meta-I:27286', 'Meta-I:36855', 'Meta-I:36885', 'Meta-I:37359', 'Meta-I:41479', 'Meta-I:49871', 'Meta-I:51259', 'Meta-I:51967', 'Meta-I:6501')
15,('Meta-I:17163', 'Meta-I:22678', 'Meta-I:36855', 'Meta-I:39325', 'Meta-I:40489', 'Meta-I:48530', 'Meta-I:49871', 'Meta-I:51149', 'Meta-I:51967')
16,('Meta-I:17163', 'Meta-I:18337', 'Meta-I:27286', 'Meta-I:36855', 'Meta-I:36885', 'Meta-I:37359', 'Meta-I:41479', 'Meta-I:51259', 'Meta-I:51967', 'Meta-I:6501')
17,('Meta-I:17163', 'Meta-I:18337', 'Meta-I:27286', 'Meta-I:36855', 'Meta-I:36885', 'Meta-I:37359', 'Meta-I:41479', 'Meta-I:51967', 'Meta-I:6501')
